"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"408","Westinghouse Air Brake Technologies",407,"$9677MM","$815MM",29000,"Industrials","Pittsburgh","Pennsylvania","no","no","yes","$25789.6MM","https://www.wabteccorp.com","WAB","$18988MM"
"409","Oshkosh",409,"$9657.9MM","$598MM",17300,"Industrials","Oshkosh","Wisconsin","no","no","yes","$8178.1MM","https://www.oshkoshcorp.com","OSK","$9129.2MM"
"410","Global Payments",410,"$9654.4MM","$986.2MM",27000,"Business Services","Atlanta","Georgia","no","no","yes","$34094.6MM","https://www.globalpaymentsinc.com","GPN","$50570.2MM"
"411","Lululemon athletica",411,"$9619.3MM","$1550.2MM",38000,"Retailing","Sumner","Washington","no","no","yes","$49225.1MM","https://www.lululemon.com","LULU","$7091.9MM"
"412","Albemarle",412,"$9617.2MM","$1573.5MM",9000,"Chemicals","Charlotte","North Carolina","no","no","yes","$15482.7MM","https://www.albemarle.com","ALB","$18270.7MM"
"413","JetBlue Airways",413,"$9615MM","$-310MM",21310,"Transportation","Long Island City","New York","no","yes","no","$2523.8MM","https://www.jetblue.com","JBLU","$13853MM"
"414","Seaboard",414,"$9562MM","$226MM",12847,"Food, Beverages & Tobacco","Merriam","Kansas","no","no","yes","$3130.6MM","https://www.seaboardcorp.com","SEB","$7566MM"
"415","Constellation Brands",415,"$9452.6MM","$-71MM",9400,"Food, Beverages & Tobacco","Victor","New York","no","no","no","$49683.2MM","https://www.cbrands.com","STZ","$24662.3MM"
"416","Graphic Packaging Holding",416,"$9428MM","$723MM",23500,"Materials","Atlanta","Georgia","no","no","yes","$8930.6MM","https://www.graphicpkg.com","GPK","$11175MM"
"417","Hertz Global Holdings",417,"$9371MM","$616MM",27000,"Retailing","Estero","Florida","no","no","yes","$2390.5MM","https://www.hertz.com","HTZ","$24605MM"
"418","FM Global",418,"$9359MM","$3748.5MM",5667,"Financials","Johnston","Rhode Island","no","no","yes","$NAMM","https://www.fmglobal.com","","$34479MM"
"419","Campbell Soup",419,"$9357MM","$858MM",14500,"Food, Beverages & Tobacco","Camden","New Jersey","no","no","yes","$13250.7MM","https://www.campbellsoupcompany.com","CPB","$12058MM"
"420","Expeditors Intl. of Washington",420,"$9300.1MM","$752.9MM",18452,"Transportation","Seattle","Washington","no","no","yes","$17248.7MM","https://www.expeditors.com","EXPD","$4523.8MM"
"421","A-Mark Precious Metals",421,"$9286.6MM","$156.4MM",421,"Wholesalers","El Segundo","California","no","no","yes","$701.4MM","https://www.amark.com","AMRK","$1545.6MM"
"422","Booz Allen Hamilton Holding",422,"$9258.9MM","$271.8MM",31900,"Technology","McLean","Virginia","no","no","yes","$19259.5MM","https://www.boozallen.com","BAH","$6550.7MM"
"423","Quest Diagnostics",423,"$9252MM","$854MM",44000,"Health Care","Secaucus","New Jersey","no","no","yes","$14782.7MM","https://www.questdiagnostics.com","DGX","$14022MM"
"424","Altice USA",424,"$9237.1MM","$53.2MM",10600,"Telecommunications","Long Island City","New York","no","no","yes","$1190.5MM","https://www.alticeusa.com","ATUS","$31923.6MM"
"425","PVH",425,"$9217.7MM","$663.6MM",23000,"Apparel","New York","New York","no","no","yes","$8385.6MM","https://www.pvh.com","PVH","$11172.9MM"
"426","Eastman Chemical",426,"$9210MM","$894MM",14000,"Chemicals","Kingsport","Tennessee","no","no","yes","$11786.2MM","https://www.eastman.com","EMN","$14633MM"
"427","Insight Enterprises",427,"$9175.8MM","$281.3MM",14437,"Technology","Chandler","Arizona","no","yes","yes","$6046.1MM","https://www.insight.com","NSIT","$6286.4MM"
"428","Regions Financial",428,"$9153MM","$2074MM",20101,"Financials","Birmingham","Alabama","no","no","yes","$19332.9MM","https://www.regions.com","RF","$152194MM"
"429","Beacon Roofing Supply",429,"$9119.8MM","$435MM",8063,"Wholesalers","Herndon","Virginia","no","no","yes","$6217.6MM","https://www.becn.com","BECN","$6207.7MM"
"430","Rockwell Automation",430,"$9058MM","$1387.4MM",29000,"Industrials","Milwaukee","Wisconsin","no","no","yes","$33384.1MM","https://www.rockwellautomation.com","ROK","$11304MM"
"431","Polaris",431,"$9014.8MM","$502.8MM",18500,"Transportation","Medina","Minnesota","no","no","yes","$5654.8MM","https://www.polaris.com","PII","$5516.3MM"
"432","ServiceNow",432,"$8971MM","$1731MM",22668,"Technology","Santa Clara","California","no","no","yes","$156292MM","https://www.servicenow.com","NOW","$17387MM"
"433","Sanmina",433,"$8935MM","$310MM",36000,"Technology","San Jose","California","yes","no","yes","$3468.2MM","https://www.sanmina.com","SANM","$4874MM"
"434","UGI",434,"$8928MM","$-1502MM",10500,"Energy","King of Prussia","Pennsylvania","no","no","no","$5142.4MM","https://www.ugicorp.com","UGI","$15401MM"
"435","WEC Energy Group",435,"$8893MM","$1331.7MM",7000,"Energy","Milwaukee","Wisconsin","no","no","yes","$25935.2MM","https://www.wecenergygroup.com","WEC","$43939.7MM"
"436","BrightSpring Health Services",436,"$8826.2MM","$-154.6MM",35000,"Health Care","Louisville","Kentucky","no","no","no","$1860.8MM","https://www.brightspringhealth.com","BGST","$5532.7MM"
"437","Cintas",437,"$8815.8MM","$1348MM",44500,"Business Services","Cincinnati","Ohio","no","no","yes","$69695.1MM","https://www.cintas.com","CTAS","$8546.4MM"
"438","Commercial Metals",438,"$8799.5MM","$859.8MM",13022,"Materials","Irving","Texas","no","no","yes","$6800.2MM","https://www.cmc.com","CMC","$6639.1MM"
"439","Continental Resources",439,"$8731.7MM","$3095.8MM",1457,"Energy","Oklahoma City","Oklahoma","no","no","yes","$NAMM","https://www.clr.com","CLR","$22387.4MM"
"440","Chesapeake Energy",440,"$8721MM","$2419MM",1000,"Energy","Oklahoma City","Oklahoma","no","no","yes","$11618.5MM","https://www.chk.com","CHK","$14376MM"
"441","CenterPoint Energy",441,"$8696MM","$917MM",8827,"Energy","Houston","Texas","no","no","yes","$18035.1MM","https://www.centerpointenergy.com","CNP","$39715MM"
"442","NGL Energy Partners",442,"$8694.9MM","$51.4MM",638,"Energy","Tulsa","Oklahoma","no","no","yes","$763.3MM","https://www.nglenergypartners.com","NGL","$5456.1MM"
"443","DoorDash",443,"$8635MM","$-558MM",19300,"Technology","San Francisco","California","yes","no","no","$55639.5MM","https://ir.doordash.com","DASH","$10839MM"
"444","NOV",444,"$8583MM","$993MM",33676,"Energy","Houston","Texas","no","no","yes","$7690.9MM","https://www.nov.com","NOV","$11294MM"
"445","Zoetis",445,"$8544MM","$2344MM",14100,"Health Care","Parsippany","New Jersey","no","yes","yes","$77475.7MM","https://www.zoetis.com","ZTS","$14286MM"
"446","J.M. Smucker",446,"$8529.2MM","$-91.3MM",5800,"Food, Beverages & Tobacco","Orrville","Ohio","no","no","no","$13364.3MM","https://www.jmsmucker.com","SJM","$14991.4MM"
"447","Microchip Technology",447,"$8438.7MM","$2237.7MM",22600,"Technology","Chandler","Arizona","no","no","yes","$48478.2MM","https://www.microchip.com","MCHP","$16370.3MM"
"448","Dover",448,"$8438.1MM","$1056.8MM",25000,"Industrials","Downers Grove","Illinois","no","no","yes","$24341.7MM","https://www.dovercorporation.com","DOV","$11348.5MM"
"449","Diamondback Energy",449,"$8412MM","$3143MM",1023,"Energy","Midland","Texas","no","no","yes","$35362.8MM","https://www.diamondbackenergy.com","FANG","$29001MM"
"450","Avery Dennison",450,"$8364.3MM","$503MM",35000,"Materials","Mentor","Ohio","no","no","yes","$17976.2MM","https://www.averydennison.com","AVY","$8209.8MM"
"451","PPL",451,"$8312MM","$740MM",6629,"Energy","Allentown","Pennsylvania","no","no","yes","$20306.2MM","https://www.pplweb.com","PPL","$39236MM"
"452","ON Semiconductor",452,"$8253MM","$2183.7MM",30050,"Technology","Scottsdale","Arizona","no","no","yes","$31430MM","https://www.onsemi.com","ON","$13215.2MM"
"453","ARKO",453,"$8238.8MM","$34.4MM",13481,"Retailing","Richmond","Virginia","no","no","yes","$662.2MM","https://www.arkocorp.com","ARKO","$3650.4MM"
"454","Par Pacific Holdings",454,"$8232MM","$728.6MM",1814,"Energy","Houston","Texas","no","no","yes","$2199.2MM","https://www.parpacific.com","PARR","$3864MM"
"455","APA",455,"$8192MM","$2855MM",2271,"Energy","Houston","Texas","no","no","yes","$10367.4MM","https://www.apacorp.com","APA","$15244MM"
"456","Equinix",456,"$8188.1MM","$969.2MM",13151,"Financials","Redwood City","California","no","no","yes","$78093.9MM","https://www.equinix.com","EQIX","$32650.7MM"
"457","New York Community Bancorp",457,"$8178MM","$-79MM",8766,"Financials","Hicksville","New York","no","no","no","$2569.3MM","https://www.mynycb.com","NYCB","$114057MM"
"458","Foot Locker",458,"$8168MM","$-330MM",30591,"Retailing","New York","New York","no","yes","no","$2693.1MM","https://www.footlocker.com/corp","FL","$6868MM"
"459","Ingredion",459,"$8160MM","$643MM",11600,"Food, Beverages & Tobacco","Westchester","Illinois","no","no","yes","$7665.9MM","https://www.ingredion.com","INGR","$7642MM"
"460","Newell Brands",460,"$8133MM","$-388MM",24600,"Household Products","Atlanta","Georgia","no","no","no","$3333.7MM","https://www.newellbrands.com","NWL","$12163MM"
"461","ABM Industries",461,"$8096.4MM","$251.3MM",123000,"Business Services","New York","New York","no","no","yes","$2824.1MM","https://www.abm.com","ABM","$4933.7MM"
"462","Securian Financial Group",462,"$8067MM","$226.6MM",5565,"Financials","St. Paul","Minnesota","no","no","yes","$NAMM","https://www.securian.com","","$73457.5MM"
"463","Prologis",463,"$8023.5MM","$3059.2MM",2574,"Financials","San Francisco","California","yes","no","yes","$120459.8MM","https://www.prologis.com","PLD","$93020.8MM"
"464","Blackstone",464,"$8022.8MM","$1390.9MM",4735,"Financials","New York","New York","yes","no","yes","$93882.8MM","https://www.blackstone.com","BX","$40287.5MM"
"465","Skechers U.S.A.",465,"$8000.3MM","$545.8MM",13550,"Apparel","Manhattan Beach","California","yes","no","yes","$9389.7MM","https://www.skechers.com","SKX","$7547.4MM"
"466","Masco",466,"$7967MM","$908MM",18000,"Household Products","Livonia","Michigan","no","no","yes","$17335.1MM","https://www.masco.com","MAS","$5363MM"
"467","Rush Enterprises",467,"$7925MM","$347.1MM",8449,"Retailing","New Braunfels","Texas","no","no","yes","$4164.4MM","https://www.rushenterprises.com","RUSHB","$4364.2MM"
"468","Franklin Resources",468,"$7849.4MM","$882.8MM",9200,"Financials","San Mateo","California","no","yes","yes","$14801.5MM","https://www.franklinresources.com","BEN","$30121.2MM"
"469","ODP",469,"$7831MM","$139MM",20000,"Retailing","Boca Raton","Florida","no","no","yes","$1942.6MM","https://www.theodpcorp.com","ODP","$3886MM"
"470","American Financial Group",470,"$7827MM","$852MM",8500,"Financials","Cincinnati","Ohio","no","no","yes","$11418.1MM","https://www.afginc.com","AFG","$29787MM"
"471","Packaging Corp. of America",471,"$7802.4MM","$765.2MM",14900,"Materials","Lake Forest","Illinois","no","no","yes","$17033.7MM","https://www.packagingcorp.com","PKG","$8681.1MM"
"472","Vulcan Materials",472,"$7781.9MM","$933.2MM",10961,"Materials","Birmingham","Alabama","no","no","yes","$36099.6MM","https://www.vulcanmaterials.com","VMC","$14545.7MM"
"473","Interactive Brokers Group",473,"$7776MM","$600MM",2932,"Financials","Greenwich","Connecticut","no","no","yes","$47328.3MM","https://www.interactivebrokers.com","IBKR","$128423MM"
"474","Williams-Sonoma",474,"$7750.7MM","$949.8MM",15000,"Retailing","San Francisco","California","no","yes","yes","$20357.6MM","https://www.williams-sonomainc.com","WSM","$5273.5MM"
"475","XPO",475,"$7744MM","$189MM",39450,"Transportation","Greenwich","Connecticut","no","no","yes","$14169.3MM","https://www.xpo.com","XPO","$7492MM"
"476","Weyerhaeuser",476,"$7674MM","$839MM",9318,"Materials","Seattle","Washington","no","no","yes","$26200.5MM","https://www.weyerhaeuser.com","WY","$16983MM"
"477","Genworth Financial",477,"$7488MM","$76MM",2700,"Financials","Richmond","Virginia","no","no","yes","$2825.7MM","https://www.genworth.com","GNW","$90817MM"
"478","CMS Energy",478,"$7462MM","$887MM",8356,"Energy","Jackson","Michigan","no","no","yes","$18018.6MM","https://www.cmsenergy.com","CMS","$33517MM"
"479","Science Applications International",479,"$7444MM","$477MM",24000,"Technology","Reston","Virginia","no","yes","yes","$6734.4MM","https://www.saic.com","SAIC","$5314MM"
"480","Jefferies Financial Group",480,"$7441.4MM","$277.7MM",7564,"Financials","New York","New York","no","no","yes","$9347.9MM","https://www.jefferies.com","JEF","$57905.2MM"
"481","Bath & Body Works",481,"$7429MM","$878MM",33069,"Retailing","Columbus","Ohio","no","yes","yes","$11249.3MM","https://www.bbwinc.com","BBWI","$5463MM"
"482","Electronic Arts",482,"$7426MM","$802MM",13400,"Media","Redwood City","California","no","no","yes","$35469.4MM","https://www.ea.com","EA","$13459MM"
"483","Taylor Morrison Home",483,"$7417.8MM","$768.9MM",2800,"Engineering & Construction","Scottsdale","Arizona","no","yes","yes","$6616.7MM","https://www.taylormorrison.com","TMHC","$8672.1MM"
"484","Zimmer Biomet Holdings",484,"$7394.2MM","$1024MM",18000,"Health Care","Warsaw","Indiana","no","no","yes","$27116.8MM","https://www.zimmerbiomet.com","ZBH","$21496.9MM"
"485","Clorox",485,"$7389MM","$149MM",8700,"Household Products","Oakland","California","no","yes","yes","$19001.9MM","https://www.thecloroxcompany.com","CLX","$5945MM"
"486","Xylem",486,"$7364MM","$609MM",23000,"Industrials","Washington","District Of Columbia","no","no","yes","$31246.4MM","https://www.xylem.com","XYL","$16112MM"
"487","Voya Financial",487,"$7348MM","$625MM",9000,"Financials","New York","New York","no","yes","yes","$7510.9MM","https://www.voya.com","VOYA","$157085MM"
"488","Fastenal",488,"$7346.7MM","$1155MM",20721,"Wholesalers","Winona","Minnesota","no","no","yes","$44157MM","https://www.fastenal.com","FAST","$4462.9MM"
"489","Watsco",489,"$7283.8MM","$536.3MM",7388,"Wholesalers","Miami","Florida","no","no","yes","$17061.3MM","https://www.watsco.com","WSO","$3729.2MM"
"490","Workday",490,"$7259MM","$1381MM",18800,"Technology","Pleasanton","California","no","no","yes","$72006MM","https://www.workday.com","WDAY","$16452MM"
"491","Old Republic International",491,"$7258.3MM","$598.6MM",9200,"Financials","Chicago","Illinois","no","no","yes","$8463.5MM","https://www.oldrepublic.com","ORI","$26501.4MM"
"492","RPM International",492,"$7256.4MM","$478.7MM",17274,"Chemicals","Medina","Ohio","no","no","yes","$15329.3MM","https://www.rpminc.com","RPM","$6782MM"
"493","UFP Industries",493,"$7218.4MM","$514.3MM",15800,"Materials","Grand Rapids","Michigan","no","no","yes","$7568.8MM","https://www.ufpi.com","UFPI","$4017.8MM"
"494","Ameren",494,"$7213MM","$1152MM",9372,"Energy","St. Louis","Missouri","no","no","yes","$19711.1MM","https://www.ameren.com","AEE","$40830MM"
"495","Knight-Swift Transportation Hldgs.",495,"$7141.8MM","$217.1MM",34550,"Transportation","Phoenix","Arizona","no","no","yes","$8885.4MM","https://investor.knight-swift.com","KNX","$12870.8MM"
"496","Monster Beverage",496,"$7140MM","$1631MM",5629,"Food, Beverages & Tobacco","Corona","California","no","no","yes","$61688.9MM","https://www.monsterbevcorp.com","MNST","$9686.5MM"
"497","Intuitive Surgical",497,"$7124.1MM","$1798MM",13676,"Health Care","Sunnyvale","California","no","no","yes","$141456.9MM","https://www.intuitive.com","ISRG","$15441.5MM"
"498","Super Micro Computer",498,"$7123.5MM","$640MM",5126,"Technology","San Jose","California","yes","no","yes","$59137.7MM","https://www.supermicro.com","SMCI","$3674.7MM"
"499","Concentrix",499,"$7114.7MM","$313.8MM",440000,"Technology","Newark","California","no","no","yes","$4342.2MM","https://www.concentrix.com","CNXC","$12491.8MM"
"500","O-I Glass",500,"$7105MM","$-103MM",23000,"Materials","Perrysburg","Ohio","no","no","no","$2549.4MM","https://www.o-i.com","OI","$9669MM"
