"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"289","Consolidated Edison",289,"$14663MM","$2519MM",14592,"Energy","New York","New York","no","no","yes","$31375.8MM","https://www.conedison.com","ED","$66331MM"
"290","CSX",290,"$14657MM","$3715MM",23232,"Transportation","Jacksonville","Florida","no","no","yes","$72568MM","https://www.csx.com","CSX","$42408MM"
"291","AECOM",291,"$14591.3MM","$55.3MM",52000,"Engineering & Construction","Dallas","Texas","no","no","yes","$13341.2MM","https://www.aecom.com","ACM","$11233.4MM"
"292","Lumen Technologies",292,"$14557MM","$-10298MM",28000,"Telecommunications","Monroe","Louisiana","no","yes","no","$1585MM","https://www.lumen.com","LUMN","$34018MM"
"293","Tractor Supply",293,"$14555.7MM","$1107.2MM",37500,"Retailing","Brentwood","Tennessee","no","no","yes","$28248MM","https://www.tractorsupply.com","TSCO","$9188.2MM"
"294","DXC Technology",294,"$14430MM","$-568MM",130000,"Technology","Ashburn","Virginia","no","no","no","$3878.7MM","https://www.dxc.technology","DXC","$15845MM"
"295","AGCO",295,"$14412.4MM","$1171.4MM",27900,"Industrials","Duluth","Georgia","no","no","yes","$9179.5MM","https://www.agcocorp.com","AGCO","$11421.2MM"
"296","Sonic Automotive",296,"$14372.4MM","$178.2MM",10500,"Retailing","Charlotte","North Carolina","no","no","yes","$1941.7MM","https://www.sonicautomotive.com","SAH","$5364.6MM"
"297","Intuit",297,"$14368MM","$2384MM",22900,"Technology","Mountain View","California","no","no","yes","$181986.4MM","https://www.intuit.com","INTU","$27780MM"
"298","United Rentals",298,"$14332MM","$2424MM",26300,"Business Services","Stamford","Connecticut","no","no","yes","$48437.2MM","https://www.unitedrentals.com","URI","$25589MM"
"299","Universal Health Services",299,"$14282MM","$717.8MM",85025,"Health Care","King of Prussia","Pennsylvania","no","no","yes","$12265.2MM","https://www.uhs.com","UHS","$13967.6MM"
"300","Boston Scientific",300,"$14240MM","$1592MM",48000,"Health Care","Marlborough","Massachusetts","no","no","yes","$100673.1MM","https://www.bostonscientific.com","BSX","$35136MM"
"301","Otis Worldwide",301,"$14209MM","$1406MM",71000,"Industrials","Farmington","Connecticut","no","yes","yes","$40249.5MM","https://www.otis.com","OTIS","$10117MM"
"302","Xcel Energy",302,"$14206MM","$1771MM",11311,"Energy","Minneapolis","Minnesota","no","no","yes","$29839.6MM","https://www.xcelenergy.com","XEL","$64079MM"
"303","Edward Jones",303,"$14080MM","$1612MM",54000,"Financials","Des Peres","Missouri","no","yes","yes","$NAMM","https://www.edwardjones.com","","$28003MM"
"304","Ball",304,"$14029MM","$707MM",21000,"Materials","Westminster","Colorado","no","no","yes","$21206.3MM","https://www.ball.com","BALL","$19303MM"
"305","LKQ",305,"$13866MM","$936MM",49000,"Wholesalers","Chicago","Illinois","no","no","yes","$14248.5MM","https://www.lkqcorp.com","LKQ","$15079MM"
"306","Mutual of Omaha",306,"$13855.8MM","$47.7MM",6231,"Financials","Omaha","Nebraska","no","no","yes","$NAMM","https://www.mutualofomaha.com","","$51838.6MM"
"307","Mosaic",307,"$13696.1MM","$1164.9MM",14049,"Chemicals","Tampa","Florida","no","no","yes","$10442MM","https://www.mosaicco.com","MOS","$23032.8MM"
"308","Textron",308,"$13683MM","$921MM",35000,"Aerospace & Defense","Providence","Rhode Island","no","no","yes","$18500.5MM","https://www.textron.com","TXT","$16856MM"
